0;10140;"10";Jovem é jovem
10140;12040;"10";Já dizia o grande Chico Anísio
12040;14000;"10";É um de seus bordões mais famosos
14000;16960;"10";Seja na cidade grande, seja no interior do Brasil
16960;18720;"10";O jovem só muda de endereço
18720;19900;"10";Ou quase isso
19900;22560;"10";O fato é que o jovem na cidade grande
22560;24820;"10";Possui mais distrações que o jovem no interior
24820;26220;"10";Que o jovem na capital
26220;28020;"10";Costuma fazer muito mais bobagem
28020;29580;"10";Que o jovem das cidadezinhas
29580;31160;"10";Mas uma coisa é certa
31160;33900;"10";O jovem no interior, quando faz uma bobagem
33900;36460;"10";Meu amigo, ela costuma ser grande
36460;38160;"10";Episódio de hoje
38160;40640;"10";Mistério em Jumozinha do Norte
40640;42620;"10";Com os padrinhos
42620;43800;"10";Felipe Xavier
43800;45460;"10";Lá do Arquivos da Patrulha
45460;47820;"10";Com a Fabi, que é uma das responsáveis
47820;50100;"10";Por aquele trabalho incrível que acontece no Instagram
50100;50860;"10";Do Arpegox
50860;52640;"10";E pelo Ricardo Nespoli
52640;54760;"10";Lá do podcast História Capixaba
54760;56920;"10";Que é sobre a História Capixaba
56920;58380;"10";Uma Ilha e um Clube
58380;59380;"10";Sobre o Vitória
59380;61400;"10";Que é um time de futebol Capixaba
61400;62880;"10";E Barba do Rick
62880;64780;"10";Que é sobre Star Trek
64780;66740;"10";The Next Generation
66740;69660;"10";Que por incrível que pareça não se passa no Espírito Santo
69660;72520;"08";O Realidades Paralelas do Guaxinim
72520;74360;"08";Usa o sistema Guaxinim e Gambiás
74360;76980;"08";Nele, cada jogador possui apenas um único atributo
76980;78000;"08";Que vai de 2 a 5
78000;80880;"08";Quanto maior o atributo, mais atlético é o personagem
80880;83420;"08";E quanto menor, mais inteligente e carismático
83420;85540;"08";Sempre que o jogador faz algo com uma chance de errar
85540;87640;"08";Joga dois dados e precisa tirar seu atributo
87640;89380;"08";Ou menos para ataques e ações físicas
89380;90900;"08";Ou seu atributo ou mais
90900;92540;"08";Para ações intelectuais e sociais
92540;95140;"08";Se a jogada for fácil ou tiver algum auxílio
95140;96240;"08";Joga um dado a mais
96240;98760;"08";Se a jogada for difícil, rola-se um dado a menos
98760;100360;"08";Eu sou o Arthur Cornejo
100360;101980;"08";E sou o padrinho do Arpegoxa
101980;105200;"08";Porque, bom, isso é um mistério que só o tempo dirá
105200;107340;"08, 10";Não deixe de seguir nas redes sociais
107340;108240;"10";Arroba o Marcelo Guaxinim
108240;109400;"10";Arroba a Arpegoxa
109400;111240;"10";Tanto no Twitter quanto no Instagram
111240;113800;"10";E se você é aquele que estava esperando
113800;115760;"10";Uma aventura animada pra essa semana
115760;117780;"10";Eu prometo que é a próxima
117780;119140;"10";A daqui a 15 dias
119380;122440;"10";Ela é incrível, é animada, é colorida, é alegre
122440;123300;"10";Tem as meninas
123300;125720;"10";Mas o episódio de hoje, embora comece
125720;127160;"10";Estranhamente good vibes
127160;129420;"10";À medida que esse mistério desenrolar
129420;132260;"10";Talvez ela adquira um tom um pouco mais sério
132260;134740;"10";Nada como os últimos episódios
134740;135480;"10";Antes desse
135480;137000;"10";Mas estou te avisando
137000;139320;"10";Agora sim, boa aventura
139320;142140;"09, 10";Sete realidades paralelas
142140;144520;"09";Uma infinidade de possibilidades
144520;145760;"09";Três jogadores
145760;147100;"09";E um guaxinim
147100;148500;"09";Soltem as amarras
148500;149360;"09";Segurem o leme
149380;150620;"09";E sem as velas
150620;152160;"09";Ignorem o farol
152160;153700;"09";O nosso destino
153700;156000;"09";A próxima aventura
156000;160500;"09";Cinco
160500;163560;"09";Quatro
163560;166400;"01, 07, 09";Três
166400;169100;"11, 09";Dois
169100;174140;"11, 07, 09";RPG
