0;800;"02";Estamos prontos?
1160;1980;"11";Estamos sim!
2440;4780;"11";Ah, você prefere mestre ou narrador?
4980;6660;"02";Na verdade, eu prefiro guache.
8880;13240;"02";Olá, eu sou o Marcelo Guaxinim e queria muito agradecer a todo mundo que votou na primeira fase do MPB,
13580;14740;"02";Melhores Podcasts do Brasil.
15020;18260;"02";O RPG Guache passou em primeiro lugar disparado na sua categoria,
18500;20720;"02";que era ficção e fantasia,
21020;24840;"02";e ficamos, acho que em top 5 do geral, top 5 ou 6,
25080;26540;"02";e agora começou a segunda fase.
26540;32660;"02";Peço pra vocês continuarem votando, não só pra continuar garantindo a primeira posição em ficção e fantasia,
32980;36120;"02";mas também para melhorar no ranking geral.
36560;41060;"02";Um podcast parceiro que também está participando é o Buraco Atrás do Pôster,
41280;43240;"02";da Gata Sofia e do Jojo.
43420;46760;"02";Ele está participando em cultura pop, também passou pra segunda fase,
47020;51320;"02";e gostaria muito, se você pudesse, já que entrou pra votar no RPG Guache,
51500;55280;"02";em ficção e fantasia, vote no Buraco Atrás do Pôster, em cultura pop.
55280;57000;"02";Segue também a gente nas redes sociais,
57140;61660;"02";lá no Twitter e no novíssimo Blue Sky.
61900;63980;"02";Pessoal, pouquíssima gente seguiu lá ainda,
64380;66640;"02";comparado com o que a gente tinha antes, comparado com o que eu sei,
66840;67800;"02";que a gente é capaz.
68220;69940;"02";Então vamos lá, dá um follow pra gente,
70240;72040;"02";que eu prometo estar escrevendo bastante coisa bacana,
72440;75660;"02";e isso acaba ajudando a RPG Guache indiretamente também.
75940;76980;"07, 02";Eu estou aqui com...
76980;77940;"07";Oi, eu sou a Zuzu.
78300;81880;"07";Vocês podem me encontrar no meu Instagram,
82200;84520;"07";nas minhas redes sociais, todas são Tezukeran.
84520;84880;"07";E...
84880;85760;"07";E é isso.
86040;88120;"10";Olá, pessoas, eu sou o Thiago.
88540;90840;"10";Vocês podem me encontrar mais na taverna lá,
91080;93380;"10";mas eu também tenho um Instagram que não é muito movimentado,
93800;95480;"10";é o ThiagoK27.
95820;97640;"10";Quem quiser dar uma olhadinha lá, pode ficar à vontade.
97960;100480;"08";Olá, eu sou a Rafa, madrinha da RPG Guache,
100620;102860;"08";e vocês podem me encontrar na taverna do Guaxinim.
103740;107460;"00";O Realidades Paralelas do Guaxinim usa o sistema Guaxinim de gambiarras.
107880;110580;"00";Nele, cada jogador possui apenas um único atributo,
110780;112240;"00";que vai de 2 a 5.
112240;113680;"00";Quanto maior o atributo,
113680;115180;"00";mais atlético é o personagem.
115620;117740;"00";Quanto menor, mais inteligente e carismático.
118260;120620;"00";Sempre que o jogador faz algo com uma chance de errar,
120980;121780;"00";joga dois dados.
122140;125900;"00";E precisa tirar o seu atributo ou menos para ataques e ações físicas,
126260;129680;"00";e seu atributo ou mais para ações intelectuais ou sociais.
130260;132780;"00";Se a jogada for fácil ou tiver algum auxílio,
133160;134020;"00";joga um dado a mais.
134380;136960;"00";Se a jogada for difícil, rola-se um dado a menos.
137340;139620;"00";Eu sou a Júlia e sou madrinha da RPG Guache,
139740;141720;"00";porque ouvir as aventuras me ajudou muito.
141720;143660;"00";E a comunidade é super acolhedora.
143680;147160;"00";Não tem como se sentir sozinho estando na Taberna do Guaxinim.
147520;148320;"00";Venha você também!
149160;150180;"02";Episódio de hoje,
150760;151680;"02";A Menina dos Sonhos.
165540;168600;"02";A Escola Estadual Maria Luísa de Sousa Pinto de Matos
168600;170200;"02";possui quase 4 mil alunos,
170720;172920;"02";do 6º ano ao ensino médio.
172920;173660;"02";Sua estrutura é muito clara,
173660;178980;"02";é ampla e moderna, com salas de aula bem equipadas, laboratórios de ciências, informática
178980;180680;"02";e uma biblioteca vasta e atualizada.
180880;186680;"02";Além disso, conta com três ginásios poliesportivos, áreas de conveniência ao ar livre, um auditório
186680;190540;"02";para eventos articulares, proporcionando um ambiente adequado para o desenvolvimento
190540;192760;"02";acadêmico e extracurricular dos estudantes.
193120;198600;"02";Entre seus eventos anuais, para promover o desenvolvimento, está a Feira de Ciências,
198960;202920;"02";que reúne projetos inovadores e criativos de diversas áreas do conhecimento.
202920;207200;"02";Nessa ocasião, os alunos têm a oportunidade de apresentar suas pesquisas para a comunidade
207200;212700;"02";escolar, recebendo avaliações e feedbacks de professores e especialistas convidados.
212920;217540;"02";A feira não só estimula o interesse pela ciência e tecnologia, mas também incentiva
217540;222680;"02";o trabalho em equipe, a comunicação e a solução de problemas, preparando os estudantes
222680;224060;"02";para os desafios futuros.
224400;229280;"02";O maior prêmio da feira deste ano foi para um grupo formado por...
229280;231720;"02";Zuzu, que fala sobre o personagem, aparência e atributos.
231720;232720;"07, 02";Então, hoje eu vou jogar caderno.
232920;239120;"07";Eu sou a Bela, meu atributo é 3, e a Bela é uma menina, ela tem 15 anos, ela tem os
239120;244520;"07";cabelos longos, pretos, ela tá sempre com os cabelos presos com um aço, normalmente
244520;249500;"07";azul, normalmente ela tá vestida de roupas azuis, ela tem preferência por vestido e
249500;254240;"07";tudo mais, e sempre que você vê a Bela, ela sempre vai estar com um livro, e os livros
254240;255580;"07";são os melhores amigos dela.
255720;256100;"10, 02";Perfeito.
256280;258180;"10";Tiago, fala sobre o personagem, aparência e atributos.
258180;261880;"10";Bom, vou jogar como um adolescente, o Marcos Antônio.
262040;262880;"10";Ele é um adolescente de...
262920;269600;"10";De pele morena, pelo sol, olhos castanhos claros, usa óculos de armação grossa, cabelos
269600;273540;"10";negros ondulados, cortado em cuia, e possui um sorriso bem gentil.
273840;279440;"10";Ele é bem tímido com pessoas que ele desconhece, mas com os amigos dele ele é bem mais solto,
279540;281220;"10";mais liberto, mais extrovertido.
281540;282900;"10";E o atributo dele é o 3.
283080;283520;"10";Perfeito.
283860;286660;"10, 02";E Rafa Malaschewski, fala sobre o personagem, aparência e atributos.
286660;290800;"08, 02";Vou jogar com a Ana Lúcia, que os amigos costumam chamar ela de Nalu.
291220;292660;"08";A Ana é uma adolescente de 15 anos.
292920;300020;"08";De estatura baixa, tem a pele tom de amêndoa com sardas, os olhos castanhos, usa um par
300020;305700;"08";de óculos redondos e verdes, e tem os cabelos ruivos cacheados que ela geralmente usa presos
305700;306880;"08";num rabo de cavalo alto.
307040;311660;"08";Apesar dela ter boas notas e gostar de estudar, seu verdadeiro amor é pela natação.
312000;316060;"08";Depois de eles terem ganhado a Feira de Ciências, ela tá animada pra viajar com os amigos e
316060;317860;"08";poder passar muitas horas na piscina.
322920;334540;"02, 03";Perfeito.
334740;337040;"02";O trabalho eram quatro alunos.
337500;339080;"02";O quarto aluno é o Fabrício.
339680;344040;"02";Moreno, com cabelo cacheado e volumoso, sempre preso em um coque bagunçado.
344040;347260;"02";Ele usa óculos de sol redondos, normalmente, né?
347580;349680;"02";E veste camisas estampadas com bandas de rock.
350200;351860;"02";Jeans rasgado e tênis de marca.
352920;355640;"02";Outro, venceram a Feira de Ciências com um projeto...
355640;356580;"02";Vocês tinham pensado num projeto?
356860;357140;"10";Sim.
357540;359660;"02";Qual foi o projeto de vocês que ganhou a Feira de Ciências?
359900;365600;"10";A gente fez uma maquete que funcionava a energia eólica, pra poder fornecer energias pra uma
365600;370580;"10";casinha e os postes de luz, onde a gente usou um moinho que era feito de ventilador.
370720;370860;"02";É.
371460;376020;"02";O colégio voltou a ter uma feira normal, depois da formatura do último membro da família
376020;376820;"02";mal donado.
376820;381160;"02";O importante é que, graças a essa vitória, os quatro ganharam o fim de semana no Hotel
381160;382360;"02";Fazenda Dona Olinda.
382360;387400;"02";Que é um refúgio acolhedor em meio a montanhas, com chalés de madeira equipados com lareiras,
387600;388500;"02";mantas quentinhas.
389040;393220;"02";Local ideal pra quem gosta de um ambiente mais rústico e tranquilo.
393640;399460;"02";Tem trilhas pra explorar na mata nativa, passeio a cavalo, salão principal costuma servir
399460;405440;"02";chocolate quente, fundi e outras coisas que a gente costuma se alimentar em locais mais
405440;405960;"02";frios, né?
406140;410060;"02";Vocês, então, os quatro, estão no segundo ano do ensino médio, né?
410940;411460;"02";Estudaram...
411460;415240;"02";A maioria dos anos juntos, ali já são amigos de longa data.
415840;419460;"02";Vocês chegaram nesse Hotel Fazenda, que eu descrevi, né?
419620;422920;"02";E deixaram as malas em dois chalés, né?
423360;425860;"02";Um pras meninas, um pros meninos ali.
426420;428140;"02";E o primeiro dia, vocês vão fazer o quê?
428260;429900;"02";O que cada um vai fazer pra aproveitar?
430180;434680;"10";Bom, o Marcos, ele já tá procurando ali a recepção, porque ele quer saber onde é
434680;437060;"10";que fica os cavalos, porque ele adora animais.
437500;441260;"10";Então, a primeira coisa que ele quer fazer é ver os cavalos, ver se tem outros animais,
441260;446940;"10";animais na fazenda, pode, se tiver, qualquer tipo de animal, ele quer ir lá ver os animais,
447080;452700;"10";passar a mão, se possível, montar, se divertir com os animais, ver trilhas também, se possível.
453040;453440;"10";Certo.
453440;457800;"08, 10";A Lu tá procurando pela parte de recriação.
458020;464440;"08";Então, puramente como tá o clima frio, talvez piscina aquecida, não sei se a gente tem
464440;467480;"08";idade pra usar sauna, mas esse tipo de coisa.
467640;469080;"03, 02";É, eu não sei se tem idade.
469100;469420;"03, 02";Melhor.
470140;470880;"03, 02";Eu acho que...
470880;475000;"03, 02";Eu acho que a partir de 16, por algum motivo, eu lembro de já ter visto isso, mas eu não
475000;480140;"02";sei se era simplesmente pras crianças não zoarem o lugar ou se tinha realmente uma imitação.
480380;480780;"02";Mas ok.
480780;482920;"02";Tem piscina aquecida, tem sauna, né?
482940;486620;"02";Ela fica na própria estrutura que cerca, né?
487180;492700;"02";É como se fosse uma grande estufa de vidro cercando a piscina pra manter até o calor
492700;493280;"02";lá dentro.
493540;496020;"02";A sauna fica lá dentro, junto com banheiros e tal.
497000;497380;"02";A Bela?
