980;8000;;"11";Todo ano acontece uma data mágica em que tudo se alinha para que nós possamos fazer algo que todo mundo gosta.
8320;9560;;"11";Isso mesmo, comprar.
9940;15760;;"11";Então, embanhados desse sentimento, a Promobit decidiu apoiar esse final de ano do RPG Guaxa
15760;18920;;"11";e sugeriram um episódio especial voltado para Black Friday.
19580;22420;;"11";Isso é impossível, foi o que eu pensei quando fui dormir.
23120;26580;;"11";Mas quando acordei, eu já sabia como tornar esta ideia real.
26580;30560;;"11";É um episódio especial e para todas as idades.
31160;33940;;"11";Episódio de hoje, Caixa de Brinquedos.
34240;37960;;"11";Com a Sinara, que me ajuda no Instagram do RPG Guaxa, é madrinha.
38380;43580;;"11";Com a Shelly, que também é madrinha, mas faz parte do RPG Next, do Contínuo e do Pode Isso.
43980;45500;;"11";Além de aqui do RPG Guaxa.
45880;52520;;"11";E o Danilo Battistini, padrinho aqui do RPG Guaxa e também lá do podcast Contador de Histórias.
52520;55900;;"11";Como comentei, esse episódio é um apoio da Promobit.
55980;56520;;"11";A Promobit...
56580;59280;;"11";É uma comunidade onde as pessoas postam ofertas.
59680;62180;;"11";Essa oferta é avaliada pela equipe da Promobit.
62580;65700;;"11";E então é colocada em exposição lá no site deles ou no app.
66280;71640;;"11";E todos aqueles que tem na sua lista de desejo o item que está sendo ofertado, recebe uma notificação.
72040;75620;;"11";Para quem não quer perder nenhuma oferta nessa Black Friday, procure a Promobit.
75760;80260;;"11";Crie a sua conta, porque sites com ofertas existem há milhares.
80260;85100;;"11";Um lugar para encontrar as melhores ofertas, só existe um, é na Promobit.
85600;86260;;"00";O Realidade Spy...
86580;90540;;"00";Um dos paralelas do guaxinim, usa o sistema Guaxinim e Gambiarras.
90540;95520;;"00";Nele, cada jogador possui apenas um único atributo, que vai de 2 a 5.
95520;98900;;"00";Quanto maior o atributo, mais atlético é o personagem.
98900;101720;;"00";Quanto menor, mais inteligente e carismático.
101720;106200;;"00";Sempre que o jogador faz algo com uma chance de errar, joga dois dados.
106200;110460;;"00";E precisa tirar seu atributo ou menos, para ataques e ações físicas.
110460;114280;;"00";E seu atributo ou mais, para ações intelectuais ou sociais.
114280;115920;;"00";Se a jogada for fácil...
115920;119020;;"00";Ou tiver algum auxílio, joga um dado a mais.
119020;122120;;"00";Se a jogada for difícil, rola-se um dado a menos.
122120;127240;;"00";Eu sou Gustavo Vieira Santos, e sou padrinho do RPGuaxa, porque, para mim, é a medida
127240;132940;;"00";certa entre uma história legal, criativa, e um sistema simples de RPG.
132940;138180;;"00";Porque mesmo se tratando de um jogo, ele não permite que você perca o rumo da história.
